Range,Goodput
456000,0.997
457000,0.993
458000,0.995
459000,0.994
460000,0.995
461000,0.99
462000,0.989
463000,0.994
464000,0.997
465000,0.991
466000,0.996
467000,0.993
468000,0.995
469000,0.994
470000,0.997
471000,0.9905
472000,0.989
473000,0.997
474000,0.998
475000,0.993
476000,0.991
477000,0.997
478000,0.988
479000,0.991
480000,0.989
481000,0.993
482000,0.994
483000,0.99
484000,0.99
485000,0.993
486000,0.996
487000,0.996
488000,0.988
489000,0.996
490000,0.995
491000,0.989
492000,0.991
493000,0.991
494000,0.997
495000,0.989
496000,0.994
497000,0.987
498000,0.992
499000,0.993
500000,0.995
501000,0.993
502000,0.995
503000,0.991
504000,0.993
505000,0.991
506000,0.994
507000,0.994
508000,0.992
509000,0.994
510000,0.994
511000,0.99
512000,0.991
513000,0.996
514000,0.989
515000,0.993
516000,0.993
517000,0.994
518000,0.994
519000,0.994
520000,0.992
521000,0.994
522000,0.992
523000,0.993
524000,0.994
525000,0.992
526000,0.994
527000,0.997
528000,0.991
529000,0.992
530000,0.998
531000,0.996
532000,0.993
533000,0.998
534000,0.994
535000,0.997
536000,0.99
537000,0.997
538000,0.995
539000,0.996
540000,0.994
541000,0.992
542000,0.986
543000,0.992
544000,0.989
545000,0.992
546000,0.99
547000,0.994
548000,0.992
549000,0.992
550000,0.998
551000,0.994
552000,0.992
553000,0.993
554000,0.988
555000,0.994
556000,0.992
557000,0.994
558000,0.994
559000,0.992
560000,0.994
561000,0.995
562000,0.996
563000,0.996
564000,0.988
565000,0.992
566000,0.994
567000,0.994
568000,0.996
569000,0.992
570000,0.999
571000,0.992
572000,0.991
573000,0.989
574000,0.993
575000,0.994
576000,0.994
577000,0.988
578000,0.998
579000,0.996
580000,0.994
581000,0.996
582000,0.994
583000,0.991
584000,0.997
585000,0.988
586000,0.9915
587000,0.994
588000,0.992
589000,0.999
590000,0.997
591000,0.994
592000,0.99
593000,0.988
594000,0.994
595000,0.995
596000,0.989
597000,0.992
598000,0.99
599000,0.995
600000,0.992
601000,0.988
602000,0.992
603000,0.993
604000,0.989
605000,0.996
606000,0.996
607000,0.995
608000,0.996
609000,0.99
610000,0.996
611000,0.992
612000,0.995
613000,0.992
614000,0.993
615000,0.99
616000,0.995
617000,0.99
618000,0.994
619000,1.0
620000,0.996
621000,0.993
622000,0.995
623000,0.993
624000,0.992
625000,0.992
626000,0.99
627000,0.988
628000,0.996
629000,0.992
630000,0.992
631000,0.999
632000,0.994
633000,0.997
634000,0.997
635000,0.996
636000,0.993
637000,0.994
638000,0.994
639000,0.991
640000,0.992
641000,0.996
642000,0.993
643000,0.995
644000,0.989
645000,0.99
646000,0.994
647000,0.992
648000,0.996
649000,0.992
650000,0.995
651000,0.989
652000,0.987
653000,0.989
654000,0.995
655000,0.991
656000,0.994
657000,0.996
658000,0.994
659000,0.99
660000,0.993
661000,0.991
662000,0.996
663000,0.997
664000,0.995
665000,0.993
666000,0.994
667000,0.991
668000,0.994
669000,0.996
670000,0.992
671000,0.994
672000,0.996
673000,0.994
674000,0.993
675000,0.997
676000,0.997
677000,0.994
678000,0.993
679000,0.996
680000,0.994
681000,0.991
682000,0.994
683000,0.993
684000,0.998
685000,0.996
686000,0.993
687000,0.986
688000,0.989
689000,0.993
690000,0.996
691000,0.999
692000,0.991
693000,0.995
694000,0.994
695000,0.995
696000,0.99
697000,0.99
698000,0.993
699000,0.994
700000,0.997
701000,0.993
702000,0.998
703000,0.996
704000,0.997
705000,0.992
706000,0.995
707000,0.996
708000,0.996
709000,0.992
710000,0.999
711000,0.996
712000,0.996
