Segment,Window Size (Sent)
531000,24400
532000,12764
533000,14725
534000,10874
535000,18798
536000,28358
537000,12135
538000,14089
539000,22618
540000,17906
541000,22286
542000,11623
543000,25894
544000,5026
545000,12642
546000,37031
547000,24972
548000,13948
549000,7331
550000,7404
551000,10923
552000,12995
553000,35365
554000,13589
555000,17274
556000,8279
557000,32044
558000,18358
559000,15676
560000,21851
561000,7901
562000,23960
563000,16532
564000,14360
565000,15114
566000,9951
567000,20812
568000,11366
569000,26424
570000,18875
571000,13535
572000,24048
573000,19545
574000,25647
575000,21513
576000,23723
577000,33417
578000,8678
579000,13436
580000,10155
581000,15459
582000,12581
583000,12508
584000,19772
585000,15480
586000,11543
587000,16974
588000,13865
589000,9424
590000,15934
591000,20633
592000,3413
593000,14197
594000,8671
595000,14335
596000,17216
597000,3383
598000,9419
599000,20446
600000,25158
601000,6149
602000,12380
603000,18185
604000,29441
605000,25953
606000,17552
607000,5008
608000,18900
609000,14830
610000,21730
611000,17688
612000,11847
613000,20765
614000,21044
615000,13783
616000,16488
617000,10053
